Platform,Content_Type,Category,Follower_Count,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Has_Media,Is_Verified,Score
Instagram,Carousel,Business,223080,1,Monday,16,985,Positive,True,False,0.4290039193042226
LinkedIn,Document,Health,312647,5,Monday,9,627,Negative,False,True,0.36072539883277577
Instagram,Carousel,Food,220737,9,Monday,27,79,Positive,True,True,0.19762588094342137
Facebook,Video,Sports,428935,10,Monday,17,554,Neutral,True,False,0.5262483699336954
Instagram,Photo,Fitness,64384,13,Monday,5,1136,Positive,True,False,0.41058187130266827
Twitter,Poll,Sports,421886,1,Tuesday,19,1611,Negative,True,False,0.5330452186641982
Twitter,Poll,Lifestyle,259275,3,Tuesday,25,1406,Negative,True,False,0.48173041293127994
Twitter,Thread,Education,30966,16,Tuesday,1,399,Negative,True,False,0.5536261996441999
YouTube,Live,Food,395761,19,Tuesday,22,109,Neutral,False,False,0.8757237609415846
Twitter,Thread,Travel,478824,20,Tuesday,22,1445,Neutral,True,True,0.4072091209703394
TikTok,Video,Travel,241082,20,Tuesday,5,369,Negative,False,False,0.6066966612647068
Instagram,Carousel,Entertainment,67464,21,Tuesday,11,1458,Positive,True,True,0.4121747674478386
Instagram,Photo,Business,292298,21,Tuesday,6,1262,Negative,True,False,0.4864477918394042
Twitter,Poll,Sports,148659,0,Wednesday,7,1597,Neutral,True,False,0.5650159468541835
LinkedIn,Poll,Lifestyle,190618,3,Wednesday,13,1506,Neutral,False,False,0.2274431262376945
Instagram,Reel,Education,499770,4,Wednesday,20,172,Neutral,True,False,0.4741543764984046
Facebook,Video,Sports,487579,9,Wednesday,15,353,Neutral,True,False,0.6370405427057875
Facebook,Post,Technology,29036,13,Wednesday,29,1717,Negative,True,False,0.5631440593793903
LinkedIn,Post,Technology,402762,0,Thursday,19,764,Positive,True,True,0.4575848337092569
Instagram,Story,Technology,245871,5,Thursday,15,1954,Positive,True,False,0.5454311604566888
Instagram,Story,Fitness,430456,10,Thursday,26,1064,Neutral,True,False,0.3813908965970073
Twitter,Thread,Fitness,120825,12,Thursday,21,880,Neutral,True,True,0.6012837782345714
Instagram,Reel,Food,202126,16,Thursday,20,175,Positive,True,False,0.4463719133676096
YouTube,Live,Travel,364855,20,Thursday,15,185,Positive,True,False,0.6378903978387084
YouTube,Video,Gaming,488156,23,Thursday,29,20,Neutral,True,False,0.7781419913927012
Instagram,Reel,Food,140434,9,Friday,8,588,Neutral,True,True,0.24352172040321815
Instagram,Carousel,Fitness,117460,14,Friday,11,1798,Positive,True,False,0.4364469657758277
Facebook,Live,Business,414100,12,Saturday,27,524,Neutral,True,True,0.5136219033851075
YouTube,Short,Lifestyle,79923,14,Saturday,1,566,Neutral,True,True,0.9008811848179591
Facebook,Post,Lifestyle,373777,17,Saturday,22,1979,Positive,False,True,0.5440663910564131
Twitter,Tweet,Fashion,499327,19,Saturday,13,622,Neutral,True,False,0.5085035864176032
Instagram,Reel,Lifestyle,331405,2,Sunday,7,53,Positive,True,True,0.553674852898291
Instagram,Story,Fashion,476563,3,Sunday,12,565,Positive,True,False,0.18916408791113332
TikTok,Video,Fitness,458682,5,Sunday,22,598,Positive,True,False,0.9617491723894789
Instagram,Story,Fashion,364057,5,Sunday,2,915,Positive,True,False,0.451622314502416
Facebook,Story,Travel,479509,7,Sunday,8,1244,Negative,True,False,0.5437367696183452
Twitter,Retweet,Fitness,135479,7,Sunday,1,311,Negative,True,True,0.5456320644304035
Twitter,Retweet,Fashion,47435,11,Sunday,23,818,Neutral,True,False,0.5144151162448686
